vivo-X7Plus,vivo
,
vivo-Y67A,
g621-tl00,huawei
vivo-Y51,vivo
SM-J3109,
Redmi-Note-3,
Redmi-Note-2,Xiaomi
OPPO-R9tm,OPPO
OPPO-R9tm,OPPO
OPPO-R9sk,OPPO
1605-A01,
Redmi-3,Xiaomi
OPPO-R9tm,
vivo-Y623,vivo
S9,GIONEE
CHM-UL00,
HUAWEI-MLA-AL10,
MI-NOTE-Pro,
OPPO-A37m,OPPO
,
vivo-Y66,vivo
vivo-Y51A,vivo
OPPO-R9s,
OPPO-A33m,OPPO
OPPO-A33m,OPPO
,
MI-5s-Plus,Xiaomi
iPhone,iPhone
vivo-X5M,vivo
Letv-X500,Letv
PLK-TL01H,
HUAWEI-G730-C00,HUAWEI
SM-N9006,
HUAWEI-MLA-AL00,HUAWEI
lenovo_x3c50,lenovo
OPPO-R9s,OPPO
TRT-TL10,
vivo-Y66,vivo
OPPO-R9sk,
EDI-AL10,
HUAWEI-G7-UL20,HUAWEI
OPPO-R7s,
HM-NOTE-1S,Xiaomi
KNT-UL10,HUAWEI
NX575J,nubia
2014011,Xiaomi
Coolpad-5200S,
M5,
HUAWEI-NXT-AL10,HUAWEI
,
PRA-AL00X,
OPPO-R9s,OPPO
OPPO-R9s,
PRO-7-S,Meizu
OPPO-A59m,OPPO
Redmi-Note-2,
VTR-AL00,
HUAWEI-MLA-AL10,HUAWEI
,
HUAWEI-TAG-AL00,HUAWEI
OPPO-R9-Plusm-A,
MI-4LTE,Xiaomi
letv_x500,letv
DIG-AL00,HUAWEI
m1-metal,
OPPO-A37m,
NEM-AL10,HUAWEI
OPPO-R11,
HUAWEI-MLA-AL10,HUAWEI
Redmi-Note-4X,
-PLK-AL10-,-PLK-AL10-
OPPO-R11,OPPO
m2,Meizu
BLN-AL20,HUAWEI
GN5001S,
OPPO-R9m,OPPO
2014501,
vivo-V3,
Redmi-3S,Xiaomi
-MI-6-,-MI-6-
vivo-X7,
OPPO-R11-Plus,OPPO
MI-NOTE-LTE,Xiaomi
OPPO-R9km,OPPO
SM-G5108Q,samsung
GT-I9500,
OPPO-R7sm,OPPO
OPPO-R11t,
DUK-AL20,HUAWEI
NEM-AL10,HONOR
PLE-703L,HUAWEI
PRA-AL00,
OPPO-R9km,
ivvi-F2-T,ivvi
A31,OPPO
-STF-AL10-,-STF-AL10-
SM-J5008,samsung
OPPO-A53m,OPPO
OPPO-R11,OPPO
m1-metal,
MI-MAX,
OPPO-R11-Plus,
ALE-UL00,
vivo-Y66L,vivo
vivo-X9,
F100,GIONEE
OPPO-A57,
OPPO-R9-Plusm-A,OPPO
OPPO-A57,OPPO
vivo-X7Plus,vivo
vivo-Y51A,vivo
NEM-AL10,HUAWEI
ZUK-Z2121,
KIW-AL10,HUAWEI
OPPO-R11,OPPO
Redmi-Note-3,
2014811,
CAM-AL00,HUAWEI
vivo-Y23L,vivo
OPPO-R7s,OPPO
HUAWEI-TIT-AL00,HUAWEI
HUAWEI-TAG-AL00,HUAWEI
KOPO-L6,KOPO
vivo-Y55A,vivo
OPPO-R9m,OPPO
vivo-V3Max-A,vivo
KIW-AL10,HUAWEI
HUAWEI-NXT-AL10,
htc_e9pw,htc
KIW-UL00,HUAWEI
Redmi-Note-2,
22,SM-A7100
OPPO-R9s-Plus,OPPO
BLN-AL10,HUAWEI
vivo-Y51,vivo
GN5001S,GiONEE
SBM302SH,SHARP
vivo-X9s-Plus,vivo
MI-MAX,
8298-A01,Coolpad
NEM-AL10,HUAWEI
Redmi-3,
vivo-X9,vivo
vivo-X7Plus,
vivo-X5Pro-D,
Mi-Note-2,
NEM-AL10,
HM-NOTE-1TD,
,
vivo-Y66,vivo
vivo-X9,vivo
Che2-UL00,HUAWEI
SCL-TL00,
Redmi-4,Xiaomi
FRD-AL10,HUAWEI
OPPO-A59s,
vivo-Y55A,
vivo-X9i,
A31,OPPO
M651CY,
m3-note,
OPPO-A57,
HM-NOTE-1S,Xiaomi
OPPO-A59s,OPPO
OPPO-R11-Pluskt,OPPO
vivo-Y51A,
BLN-AL40,
M1-E,
vivo-V3,vivo
OPPO-A59m,OPPO
OPPO-R9s,OPPO
vivo-Y67,
KIW-TL00H,
,
TRT-AL00,HUAWEI
OPPO-A59s,
vivo-X9Plus,vivo
Redmi-4X,Xiaomi
-LNV-Lenovo-P2c72,-LNV-Lenovo-P2c72
OPPO-A33m,
Redmi-Note-3,
F100,
iPhone,apple
SM-J5008,
MI-5,Xiaomi
ZTE-N928Dt,ZTE
ale-ul00,huawei
Le-X620,
vivo-X9s-L,vivo
KIW-TL00,HONOR
vivo-X7Plus,vivo
HM-NOTE-1W,
OPPO-A57,OPPO
vivo-X9,vivo
HUAWEI-NXT-AL10,
Che1-CL20,
OPPO-R9s,
m3-note,Meizu
OPPO-R9s,OPPO
MI-4LTE,
OPPO-A57t,
,
vivo-Y51A,vivo
vivo-Y51A,
vivo-X7Plus,
vivo-X20A,
H60-L03,
DUK-AL20,
PRA-AL00,
H60-L01,HUAWEI
vivo-Y67A,
huawei_mla-al10,huawei
Redmi-4X,Xiaomi
HUAWEI-NXT-TL00,HUAWEI
M6,Meizu
D10S,
Redmi-Note-3,
SM-A5009,
OPPO-A59m,
OPPO-A59s,
KIW-AL10,
OPPO-A59s,OPPO
OPPO-R9s,OPPO
vivo-Y35A,
lephone-T2,lephone
OPPO-R9tm,
SM-G9250,
NEM-AL10,HUAWEI
m3,Meizu
vivo-V3Max-A,vivo
ONE-E1001,
OPPO-R9s,OPPO
Redmi-Note-2,
CAM-TL00H,HUAWEI
EVA-AL10,HUAWEI
R6007,OPPO
,
HUAWEI-MT7-TL00,HUAWEI
f100l,gionee
SAST-SA5,
HM-NOTE-1LTETD,
,
GN5001S,GiONEE
OPPO-A59m,
A31,OPPO
vivo-X9s,
SM-N9008V,
L50t,Sony
m1-note,
vivo-Y22L,vivo
CUN-TL00,HUAWEI
OPPO-A59s,OPPO
vivo-X9,vivo
GN9010,GiONEE
A31c,
MI-4LTE,Xiaomi
vivo-X9L,vivo
HUAWEI-TIT-TL00,
MI-MAX,
vivo-X5M,
BLN-AL10,
Redmi-Note-2,Xiaomi
HM-2A,
Redmi-3S,Xiaomi
HUAWEI-RIO-TL00,
Redmi-Note-2,Xiaomi
HUAWEI-MLA-AL10,HUAWEI
MX5,
VIE-AL10,
A2,alps
OPPO-R11,OPPO
HUAWEI-RIO-AL00,HUAWEI
H60-L11,
m1,
vivo-X7Plus,
m2-note,Meizu
M040,Meizu
PRA-AL00X,
CAM-UL00,HUAWEI
MI-3W,Xiaomi
OPPO-R9s,OPPO
,
vivo-Y13L,
NEM-AL10,HUAWEI
SM-G3139D,samsung
OPPO-R11,OPPO
Bird-F5,BIRD
M5s,
Redmi-4A,
HUAWEI-G750-T01,HUAWEI
GN3003L,
VKY-AL00,
vivo-X9s-Plus,
WAS-AL00,HUAWEI
vivo-Y67L,vivo
vivo-X7,vivo
vivo-Y23L,
M651CY,CMDC
OPPO-A33,OPPO
MI-4LTE,
redmi_4x,xiaomi
X805,
HTC-D626d,
OPPO-A53m,OPPO
,
Redmi-Note-3,Xiaomi
GN8003,
vivo-X9Plus,vivo
,
Letv-X501,
ATH-AL00,HUAWEI
vivo-Y51A,
OPPO-A57,OPPO
HUAWEI-MLA-AL10,HUAWEI
OPPO-A57,
BLN-AL40,HUAWEI
OPPO-R9s,
HM-2A,
vivo-Y66,vivo
PE-TL00M,
OPPO-A57,
PRA-AL00,
CAM-TL00,
OPPO-A59m,
vivo-X7,
OPPO-R9s-Plus,
Redmi-Note-4,
OPPO-R9-Plust-A,
M611D,Meizu
,
MI-MAX,
MI-4LTE,
MHA-AL00,HUAWEI
vivo-X7,vivo
F5,
OPPO-A59s,
GT-I9508,samsung
iPhone,iPhone
OPPO-A59s,
OPPO-A57,OPPO
iPhone,apple
OPPO-R9s,
R7007,
HUAWEI-TAG-AL00,HUAWEI
OPPO-A37m,OPPO
vivo-X9i,
HM-2A,Xiaomi
CPN-AL00,
HUAWEI-TIT-TL00,
Redmi-Note-3,
2014813,Xiaomi
ASUS_X002,
OPPO-R7,OPPO
PRA-AL00X,HUAWEI
f5,gionee
OPPO-R9m,
iPhone,apple
vivo-Y51A,
vivo-Y55A,vivo
lephone-W2,
MHA-AL00,
GN5001S,
,
OPPO-A59s,OPPO
CAM-TL00H,HUAWEI
ZTE-BA610T,ZTE
1503-A01,
vivo-Y66,vivo
MHA-AL00,HUAWEI
vivo-Y31A,vivo
HUAWEI-TAG-TL00,
MI-NOTE-Pro,
CAM-AL00,
,
vivo-Y51,vivo
Che2-TL00M,HUAWEI
NCE-AL10,
HONOR-H30-L01M,HUAWEI
PRA-AL00,HUAWEI
OPPO-A57,OPPO
OPPO-R9-Plusm-A,
OPPO-R9s,
-CHE-TL00H-,-CHE-TL00H-
Redmi-4A,
SM-N9006,
OPPO-R9s,OPPO
Redmi-3,
vivo-Y66,vivo
vivo-Y55A,
H60-L01,
DIG-AL00,HUAWEI
MI-2,
vivo-Y51A,vivo
HUAWEI-MT7-TL10,HUAWEI
OPPO-R9m,
vivo-X9L,
MHA-AL00,HUAWEI
FRD-AL10,HUAWEI
OPPO-R9s,
vivo-Y33,
HUAWEI-TIT-AL00,
Redmi-Note-2,
SHOWN-P1,SHOWN-P1
SM-G5510,
PE-UL00,HUAWEI
PLK-CL00,HUAWEI
m3-note,Meizu
vivo-X6Plus-D,vivo
-MI-5s-Plus-,-MI-5s-Plus-
vivo-X6SPlus-D,vivo
SM-G7108V,
OPPO-A57,
Redmi-Note-3,Xiaomi
vivo-Y66,
vivo-Xplay5A,
vivo-Y66,vivo
HUAWEI-NXT-AL10,HUAWEI
EVA-AL00,HUAWEI
PE-CL00,
vivo-X9,vivo
NX403A,
vivo-X6SPlus-D,vivo
OPPO-A59s,OPPO
HUAWEI-MLA-AL10,
F100,
vivo-Y67,vivo
DIG-AL00,HUAWEI
A51,OPPO
GN8003,
Redmi-3S,Xiaomi
vivo-Y29L,
HUAWEI-CRR-UL20,
-MI-4LTE-,-MI-4LTE-
,
OPPO-R7s,
vivo-Xplay6,
CT01,shijitianyuan
vivo-V3,vivo
LON-AL00,HUAWEI
MI-1S,Xiaomi
Redmi-3,
2014813,xiaomi
vivo-X9s-Plus,vivo
CHE-TL00H,
vivo-X3L,
vivo-X6Plus-A,vivo
SM-G5108,
FRD-AL00,HUAWEI
vivo-Y31A,vivo
EVA-AL10,HUAWEI
OPPO-R9m,OPPO
-OPPO-R9m-,-OPPO-R9m-
Redmi-4X,Xiaomi
NEM-AL10,
OPPO-R9km,OPPO
SLA-AL00,HUAWEI
KIW-TL00H,
VIE-AL10,HUAWEI
CUN-TL00,HUAWEI
SM-N9109W,
SM-C7000,
OPPO-R9s,
OPPO-A37m,
PRA-AL00,HUAWEI
ZUK-Z2131,
,
vivo-X5M,
r8107,oppo
Letv-X500,Letv
Che2-UL00,HUAWEI
vivo-X7,
OPPO-R9m,OPPO
KIW-TL00H,
X9000,
vivo-X9Plus,
Redmi-4X,Xiaomi
OPPO-A57,
NX563J,
A31,OPPO
GN5001S,GiONEE
OPPO-R9m,OPPO
OPPO-A59s,OPPO
OPPO-R9s-Plust,OPPO
vivo-Y51A,
CAM-TL00,HUAWEI
,
OPPO-A59s,OPPO
HUAWEI-NXT-TL00,HUAWEI
Le-X620,LeMobile
iPhone,apple
OPPO-A57,
PLK-TL01H,
OPPO-A57,
NEM-AL10,
vivo-Y66,
vivo-Y66,
SCL-TL00,Honor
,
OPPO-R9m,OPPO
m2-note,
"iPad5,3",Apple
MI-3W,Xiaomi
OPPO-R9tm,
asus_x008,asus
vivo-Y51A,
Coolpad-5263S,Yulong
huawei_tag-tl00,huawei
HUAWEI-VNS-AL00,
R813T,OPPO
NEM-TL00H,HONOR
Redmi-Note-2,
OPPO-R9m,
CHE-TL00,HUAWEI
vivo-Y67L,
OPPO-A33,OPPO
,
GT-N7100,samsung
MI-2,
OPPO-A33m,
TRT-AL00A,HUAWEI
HUAWEI-Y635-CL00,HUAWEI
OPPO-R9s-Plus,
OPPO-A59s,OPPO
PE-TL00M,
GN5001S,
vivo-Y51A,
MI-NOTE-LTE,Xiaomi
OPPO-R9s-Plus,
OPPO-R9-Plustm-A,OPPO
OPPO-A57,
OPPO-A57,OPPO
OPPO-A57,OPPO
MI-4C,Xiaomi
,
vivo-Y51,vivo
vivo-Y67A,vivo
OPPO-A33m,
vivo-V3,
MI-NOTE-LTE,
HUAWEI-CRR-CL20,HUAWEI
OPPO-A37m,OPPO
Redmi-3S,Xiaomi
CUN-AL00,
CAM-TL00H,HUAWEI
HUAWEI-TIT-AL00,HUAWEI
HM-NOTE-1TD,
NEM-TL00,HUAWEI
OPPO-A37m,OPPO
HUAWEI-TAG-AL00,HUAWEI
Le-X507,Letv
vivo-Y55A,
H60-L01,
OPPO-A37m,OPPO
OPPO-R9s-Plus,OPPO
R7Plus,
OPPO-R7s,OPPO
OPPO-R7,OPPO
OPPO-A57,OPPO
vivo-X6Plus-A,vivo
TRT-TL10,
OPPO-A33,
OPPO-A59m,
SM-G6000,
vivo-V3,vivo
vivo-Y66,
A31,
MI-4LTE,
MI-MAX,Xiaomi
OPPO-A57,OPPO
-,-
MI-4LTE,Xiaomi
TRT-TL10,
Redmi-3S,
MI-5s-Plus,
MI-2,
A31c,
HM-NOTE-1S,Xiaomi
Redmi-Note-3,Xiaomi
MX4,
vivo-X9L,
vivo-X9,vivo
2013023,Xiaomi
vivo-Y37,vivo
vivo-V3Max-A,vivo
,
F100,
MHA-AL00,HUAWEI
gn3003l,gionee
ALE-UL00,HUAWEI
oppo_a37m,oppo
m1-note,
-HUAWEI-P6-U06-,-HUAWEI-P6-U06-
vivo-Y35,vivo
Redmi-Note-4,Xiaomi
LA-S33,xiaolajiao
GN9010,GiONEE
vivo-X9,
,
OPPO-A57,OPPO
OPPO-A53m,OPPO
OPPO-R11t,OPPO
vivo-Y67L,
OPPO-A59s,OPPO
F106L,
vivo-X7Plus,vivo
HM-NOTE-1LTE,Xiaomi
OPPO-R9s,OPPO
vivo-Y35A,
SM-N7508V,
H60-L01,HUAWEI
OPPO-A59s,OPPO
OPPO-R9s-Plus,
HM-NOTE-1S,Xiaomi
OPPO-A33m,
